language,year,coldwar,utopia,eden,amen,sandwich,whiskey,disco,jazz
Chinese,1983,1.12E-06,4.04E-06,1.64E-07,3.44E-08,6.88E-08,1.88E-08,3.35E-07,4.48E-07
Chinese,1984,1.25E-06,4.05E-06,1.79E-07,3.67E-08,6.60E-08,1.93E-08,4.83E-07,5.04E-07
Chinese,1985,1.43E-06,3.68E-06,1.94E-07,4.57E-08,5.85E-08,1.93E-08,5.84E-07,6.12E-07
Chinese,1986,1.61E-06,3.79E-06,2.34E-07,4.36E-08,6.43E-08,1.65E-08,6.79E-07,5.89E-07
Chinese,1987,2.04E-06,3.94E-06,2.72E-07,4.15E-08,7.49E-08,1.40E-08,7.51E-07,6.08E-07
Chinese,1988,2.70E-06,3.77E-06,2.96E-07,3.73E-08,7.74E-08,1.26E-08,7.86E-07,6.14E-07
Chinese,1989,3.56E-06,3.51E-06,3.01E-07,3.21E-08,7.46E-08,5.88E-09,7.71E-07,5.18E-07
Chinese,1990,4.98E-06,3.49E-06,3.43E-07,3.29E-08,7.47E-08,6.33E-09,6.78E-07,4.41E-07
Chinese,1991,6.49E-06,3.56E-06,3.69E-07,3.24E-08,7.77E-08,7.13E-09,5.89E-07,4.08E-07
Chinese,1992,8.77E-06,3.63E-06,3.88E-07,2.63E-08,7.89E-08,7.55E-09,5.17E-07,3.02E-07
Chinese,1993,1.22E-05,3.39E-06,3.67E-07,2.29E-08,7.15E-08,6.06E-09,4.45E-07,2.29E-07
Chinese,1994,1.59E-05,3.09E-06,3.57E-07,1.93E-08,7.58E-08,5.82E-09,3.71E-07,2.10E-07
Chinese,1995,2.01E-05,3.22E-06,3.67E-07,1.67E-08,7.45E-08,3.90E-09,3.22E-07,2.10E-07
Chinese,1996,2.43E-05,3.30E-06,3.69E-07,1.97E-08,7.19E-08,4.26E-09,3.18E-07,2.25E-07
Chinese,1997,2.75E-05,3.52E-06,3.51E-07,1.89E-08,7.42E-08,4.23E-09,3.09E-07,2.43E-07
Chinese,1998,3.16E-05,3.40E-06,3.30E-07,1.40E-08,6.99E-08,3.64E-09,2.84E-07,2.53E-07
Chinese,1999,3.57E-05,3.39E-06,3.03E-07,1.49E-08,6.83E-08,3.22E-09,2.82E-07,2.68E-07
Chinese,2000,3.80E-05,3.79E-06,3.04E-07,1.55E-08,7.53E-08,2.73E-09,2.58E-07,2.80E-07
Chinese,2001,3.95E-05,3.98E-06,3.16E-07,1.92E-08,1.10E-07,2.99E-09,2.80E-07,3.02E-07
Chinese,2002,3.89E-05,4.07E-06,3.22E-07,2.27E-08,1.15E-07,3.70E-09,2.65E-07,3.07E-07
Chinese,2003,3.79E-05,4.16E-06,3.24E-07,2.11E-08,1.29E-07,4.87E-09,2.38E-07,3.32E-07
Chinese,2004,3.68E-05,4.31E-06,3.49E-07,2.08E-08,1.38E-07,4.53E-09,2.29E-07,3.47E-07
Chinese,2005,3.57E-05,4.62E-06,3.60E-07,2.30E-08,1.48E-07,5.75E-09,2.16E-07,3.80E-07
Chinese,2006,3.30E-05,5.08E-06,4.17E-07,2.28E-08,1.60E-07,7.37E-09,1.92E-07,3.91E-07
Chinese,2007,3.14E-05,5.06E-06,4.27E-07,2.39E-08,1.77E-07,9.70E-09,1.85E-07,3.84E-07
Chinese,2008,2.93E-05,5.20E-06,4.36E-07,2.55E-08,1.54E-07,1.14E-08,1.42E-07,3.60E-07
Chinese,2009,2.59E-05,5.37E-06,4.48E-07,3.18E-08,2.26E-07,1.07E-08,1.27E-07,3.38E-07
Chinese,2010,2.31E-05,4.98E-06,4.14E-07,2.85E-08,2.72E-07,9.20E-09,1.15E-07,3.26E-07
Chinese,2011,2.11E-05,4.66E-06,6.07E-07,3.66E-08,3.82E-07,1.85E-08,1.17E-07,3.30E-07
Chinese,2012,1.84E-05,4.12E-06,8.13E-07,4.70E-08,4.28E-07,2.36E-08,1.17E-07,3.35E-07
Chinese,2013,1.59E-05,4.28E-06,1.25E-06,7.36E-08,7.02E-07,3.25E-08,1.82E-07,4.15E-07
Chinese,2014,1.61E-05,7.35E-06,1.97E-06,2.26E-07,7.53E-07,3.92E-08,1.95E-07,4.64E-07
Chinese,2015,1.91E-05,7.36E-06,2.28E-06,2.63E-07,9.70E-07,1.29E-07,2.24E-07,5.28E-07
Chinese,2016,1.86E-05,7.28E-06,2.27E-06,2.53E-07,9.04E-07,1.29E-07,2.39E-07,5.13E-07
Chinese,2017,1.95E-05,7.65E-06,2.26E-06,2.53E-07,8.37E-07,1.29E-07,2.29E-07,4.61E-07
Chinese,2018,2.05E-05,8.39E-06,2.33E-06,2.84E-07,8.27E-07,1.39E-07,2.31E-07,4.66E-07
Chinese,2019,2.19E-05,9.73E-06,2.44E-06,3.22E-07,9.04E-07,1.56E-07,2.48E-07,4.51E-07
Chinese,2020, 2.4593466378064477e-05]}, 1.010896414754825e-05]}, 2.114912803108382e-06]}, 3.4950190297422523e-07]}, 6.160948373690189e-07]}, 1.772059459170805e-07]}, 1.6308789696495296e-07]}, 3.2522952686520057e-07]}]
